CellID,X,Y,Potential,Annotation,HVG_JCHAIN,HVG_FCER1A,HVG_AHSP,HVG_CD9,HVG_CA1,HVG_AKAP12,HVG_FAM178B,HVG_IRF8,HVG_CSTA,HVG_APOC1
Run4_120703408880541,20.76806475581062,-12.993637478912035,2.1355112227235535,Ery_1,0.0,1.8123257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120703409056541,18.920891569621727,17.474562592557408,3.8435277432441506,HSC_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120703409580963,-29.192256251105864,14.729240577641072,0.3767451236590338,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6448214,2.4380083,0.0
Run4_120703423990708,-28.510073812727153,14.383613029929979,0.5086247345844148,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570737,0.0
Run4_120703424252854,-16.982135280577896,-8.072081172810494,0.9926613807064761,Precursors,2.3225052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120703436053366,13.986458708028552,-7.446396011033496,2.615599704739993,Ery_1,0.0,0.5563232,0.0,0.0,0.0,0.0,0.5563232,0.0,0.0,0.0
Run4_120703436057910,11.871597808511616,-11.839904247581195,2.518490616096021,Mega,0.0,0.7974098,0.0,1.2353457,0.0,0.0,0.0,0.0,0.0,0.476167
Run4_120703436876077,17.152427160511586,3.5739289613378,3.333336186547476,HSC_1,0.0,0.0,0.0,0.828352,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120703455025387,-0.3930734644827623,-7.146369821436475,2.3158929665189962,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120726911638237,-6.378041562679597,-10.68746659545375,1.6847915637572068,Precursors,0.0,0.48879558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120726912355038,-11.562547043712959,-0.5909507564851785,1.3828933489153252,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0273441,0.0
Run4_120726924974443,-15.764914125615935,-5.347943274954134,1.1131200076808536,Mono_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4085584,0.0,0.0
Run4_120726924978030,-0.2197318044829025,-4.855796739913482,2.277099875947645,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120726943295348,-28.934488415129998,15.032579312507636,0.3773525128698685,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3765163,0.0
Run4_120726943845302,-24.672651297479852,9.321274883567353,0.6732410147061509,Mono_1,0.0,0.0,0.7320418,0.0,0.0,0.0,0.0,0.0,1.4440832,0.0
Run4_120772961130853,11.70742118686318,2.0171842633982795,3.14483509517619,HSC_2,0.0,0.7986007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120772961168292,15.817645916495922,-8.503381524047356,2.6328349365721255,Ery_1,0.0,1.4199044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120786758780660,5.678708413086741,0.5361647506221894,2.973923305953599,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120786786086116,14.901837728823942,2.9518564917865655,3.2780788188541923,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120786804205803,-6.494909012205,-12.026911927071936,1.9213345071635182,Precursors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120786804401973,-5.032548449307057,-2.294502024429458,1.8040851034749448,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120797898099934,-15.907316655655197,-4.309936803019274,1.1189643874888482,Mono_2,0.0,0.0,0.43397257,0.0,0.0,0.0,0.0,0.7356093,0.7356093,0.0
Run4_120797898946870,11.619114914336706,-26.400659168164253,1.0171265515067658,Ery_2,0.0,0.0,0.0,0.0,1.4182992,0.0,0.23177883,0.0,0.0,1.6927297
Run4_120797925428019,5.085768479424157,-0.10190081086089725,2.8620711848194986,HSC_2,0.0,0.0,0.0,0.6384633,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120797944278244,19.036540375444947,-16.310570443082856,1.7409460609546246,Ery_1,0.0,0.469131,0.7871878,0.0,0.0,0.0,0.0,0.0,0.0,1.0281229
Run4_120797944309486,19.832688881108023,-12.860765057264091,2.129749888575758,Ery_1,0.0,1.0998528,0.5115701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120797944462237,9.907915201922114,2.020232266184481,3.0368488566209364,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120797944538971,17.280700296897386,-8.53108666902903,2.601531206747331,Ery_1,0.0,1.8370872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_120797945018284,6.78222685706193,-27.909121087772156,0.5697841546991027,Ery_2,0.0,0.0,2.0048661,0.0,2.037606,0.0,1.7821106,0.0,0.0,1.0042411
Run4_120797945084765,17.549375270995213,5.724299433421378,3.3509687702287803,HSC_1,3.0108812,0.0,0.0,0.0,0.0,0.0,0.0,1.0751827,0.0,0.0
Run4_120864497952619,-22.300997593014483,-11.23468262722763,0.5581542075576218,DCs,0.0,0.7819348,0.0,0.0,0.0,0.0,0.0,1.2153263,1.5166845,0.0
Run4_120864498109163,-8.043341202428751,14.036775762179888,2.2150963708395097,CLP,0.0,0.0,0.0,1.7898614,0.0,3.4317825,0.0,0.0,0.0,0.0
Run4_121202296155437,17.541822430725645,-17.06021882047001,1.8006074055768364,Ery_1,0.4047905,0.4047905,0.69213504,0.0,0.0,0.0,0.69213504,0.0,0.0,0.915076
Run4_121202296407845,-8.327553365612898,14.388329630080117,2.2292475253353943,CLP,0.0,0.0,0.0,2.6402683,0.0,0.0,0.0,1.0506699,0.0,0.0
Run4_121202296712412,-23.82048621856765,-9.77657019719824,0.32161186345568993,DCs,2.4709806,1.2259982,0.0,0.0,0.0,0.0,0.0,2.4709806,0.0,0.0
Run4_121202296875939,19.23439262678974,16.94801024084554,3.847945423759231,HSC_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121202311609131,-27.877248039803142,12.675674284662248,0.5017439993015875,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88948107,0.0
Run4_121202323408629,-19.537380923270295,5.677274700404814,0.9068093554097638,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685013,0.0
Run4_121202323971293,-26.947440698164367,12.091035903891337,0.6059630782646233,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8661729,0.8661729
Run4_121202324139420,-21.08784761594921,-9.361760410367898,0.8213921650565856,DCs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1107533,0.0,0.0
Run4_121276814544302,4.107828798609547,-0.8088968686795907,2.654163348049021,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121276814768869,11.859037773772057,4.281647262709505,3.128263210677029,HSC_2,2.851749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121319782803691,3.682444239092352,-1.3031872906876303,2.682696209143275,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121338017995180,21.819427987940585,3.157125216845029,3.3020365521166353,HSC_1,0.0,1.9428751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121339869292318,-24.3204254320575,10.498528852009802,0.6911756579240764,Mono_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121339869579045,11.239764324489057,18.83357723477447,3.6108886722666167,HSC_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121339870034742,-8.56936242776429,14.770425587887667,2.1893014150709296,CLP,0.0,0.0,0.0,1.1037066,0.0,1.1037066,0.0,0.0,0.0,0.0
Run4_121339884197670,20.732488973641942,3.682185108260715,3.429859810885384,HSC_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121339897375467,-3.071625073069846,0.6822193650065659,1.9738466382986504,HSC_2,2.0587862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121339915976030,-6.425801063789767,-11.058920592935584,1.8812069693911226,Precursors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121742671661982,5.125911130272238,-28.625401284349795,0.2866728474843674,Ery_2,0.0,0.0,2.0305457,0.0,1.9613823,0.0,1.5724039,0.0,0.0,1.1106669
Run4_121742672218843,4.788500923185658,0.2544322224394571,2.6718536582917487,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121742684731182,5.236150743094087,0.13817516812191602,2.77256668420718,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121812464876332,-4.175822715337488,-11.087521000246843,1.9587188043455273,Precursors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121812465170790,5.962378691562028,-28.613897145543504,0.7773562342895302,Ery_2,0.0,0.0,2.2471304,0.0,0.0,0.0,1.8044007,0.24843562,0.0,1.0899508
Run4_121812477504803,-6.727778487412613,-11.902677942553538,1.8132736165681003,Precursors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121812477659372,-1.2771751406291516,-4.250700861288313,2.0807527891493702,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run4_121812478016931,15.957838754862106,-19.547954641160832,1.5548698588101493,Ery_1,0.0,0.0,0.5785233,0.0,0.0,0.0,0.33052707,0.0,0.0,1.0846848
Run4_121812496309539,-23.071227043355066,-10.9717651142822,0.4083496604629646,DCs,0.0,0.5397821,0.0,0.0,0.0,0.0,0.0,2.3996086,0.8884121,0.5397821
Run4_121812496627629,-9.62900959559876,-9.051001734251557,1.6038961438791581,Precursors,0.0,0.0,0.0,0.0,0.564824,0.0,0.0,0.0,0.0,0.0
Run4_121826140407589,13.190859432660273,3.1134994546320574,3.297103444853821,HSC_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
